"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"zajechaæ";0;0;0,000261358614811002;0;0;0,000296104237112367;0;0;0,000301587648910744;0,00127132611037753;0,00021041583395801;0,000780144829931883;0;0;0;0;0;0,000353253218152713;0;0
"zajem";0,000207535168667926;0,000113017476359308;0;0;0;0;0;0;0;0,000243000223022693;0,000120656126296624;0;0;0;0;0;0,000211799243283283;0;0,000308009030765966;0
"zajêczeæ";0;0,000151078671018763;0;0;0;0,000453944886585995;0;0;0;0;0;0;0;0;0;0;0;0;0,000411738047326048;0,000452970755928085
"zajmuj¹cy";0;0;0;0;0;0;0;0,000186189901829371;0,000345871285178456;0;0,000120656126296624;0,000178939486367179;0;0;0;0;0;0,000202561585325505;0;0,000338853998081585
"zajrzeæ";0;7,49562816998536e-05;0,000198792595935298;0;0,000685920269988122;0;0,000102354783957801;0,00197577977222862;0;0;0;0,000237355123816844;0;0;0;0;0;0,000134344384075225;0,000204280014205884;0,00134842344141051
"zajœcie";0;0;0;0;0;0;0;0;0,000231175636687312;0,000324836051327275;0,00016128980931421;0;0;0;0;0;0;0,000270778786575786;0;0
"zaka³a";0;0,000356167036783942;0;0;0;0;0,000243177751591844;0;0;0;0,000190119866224382;0;0;0;0;0;0;0;0;0
"zakamarek";0;0;0;0,00389881138770115;0;0,000535086137666902;0;0,000293382526976761;0;0;0;0;0;0;0;0;0;0;0;0
"zakaz";0,000361926799170741;0;0,000174239076540668;0;0;0;0,000134568918065727;0,000649404297493733;0,000150793824455372;0,000211887685062921;0;0;0;0;0;0;0;0;0,000179048725952212;0
"zakazaæ";0;0;7,6038429386676e-05;0;0,000393548108034344;0;0,000469810073704971;0,000141700942747064;0;0;0;0,000408548911575367;0;0;0;0;0;0,000616642843096146;0,000546961618643548;0,000257886869857074
"zakazywaæ";0;0;0;0;0;0;0;0;0;0,000382899495546475;0,000190119866224382;0;0;0;0;0;0;0;0;0,00106787576830519
"zak¹ska";0;0;0;0;0;0;0;0;0;0,000382899495546475;0;0;0;0;0;0;0;0,000319179661127254;0,000161778318605403;0
"zak¹tek";9,04816997926852e-05;0;8,71195382703341e-05;0;0,000450900021681976;0;0,000269137836131454;0,000324702148746866;0;0;0;0;0;0;0;0;0,000184681523330052;0;0,000447621814880529;0
"zakl¹æ";6,88215002954209e-05;0;0,000198792595935298;0;0;0,000225220546128065;0;0;0,000229391296982288;0;8,00224432790393e-05;0;0;0;0;0;0,00098329736057985;0,000268688768150449;0,00102140007102942;0,000561843100587715
"zaklêcie";0,000119481450504809;0,000130132084065326;0,000115041702617199;0;0,000297707651086633;0;0;0;9,95619275189168e-05;0;0;0,000103018440300814;0;0;0;0;0,000487745396902817;0,00128279883381924;0,00183236789218584;9,75419430355053e-05
"zaklinaæ";0,000206464500886263;0,000524693971898975;0,000397585191870595;0;0;0,000225220546128065;0;0;0,000229391296982288;0,00016116439471811;0;0,000118677561908422;0;0;0;0;0;0;0,000408560028411769;0,000112368620117543
